open_time,open,high,low,close,volume,close_time
2025-10-09 19:00:00,1238.14,1243.86,1237.82,1241.46,6924.153,2025-10-09 19:59:59.999
2025-10-09 20:00:00,1241.47,1248.25,1239.97,1247.43,7753.182,2025-10-09 20:59:59.999
2025-10-09 21:00:00,1247.43,1255.96,1245.14,1254.49,12789.019,2025-10-09 21:59:59.999
2025-10-09 22:00:00,1254.49,1260.64,1251.7,1260.6,13574.819,2025-10-09 22:59:59.999
2025-10-09 23:00:00,1260.6,1260.6,1250.4,1255.35,11952.802,2025-10-09 23:59:59.999
2025-10-10 00:00:00,1255.35,1269.19,1254.64,1257.58,21524.015,2025-10-10 00:59:59.999
2025-10-10 01:00:00,1257.59,1260.32,1247.74,1249.45,17012.954,2025-10-10 01:59:59.999
2025-10-10 02:00:00,1249.45,1254.83,1244.1,1246.28,16461.611,2025-10-10 02:59:59.999
2025-10-10 03:00:00,1246.28,1266.47,1245.06,1259.62,24560.911,2025-10-10 03:59:59.999
2025-10-10 04:00:00,1259.62,1274.81,1259.46,1265.4,31512.807,2025-10-10 04:59:59.999
2025-10-10 05:00:00,1265.39,1274.0,1258.04,1271.1,19000.793,2025-10-10 05:59:59.999
2025-10-10 06:00:00,1271.1,1278.52,1268.17,1268.31,17277.331,2025-10-10 06:59:59.999
2025-10-10 07:00:00,1268.32,1273.44,1261.33,1263.75,17247.602,2025-10-10 07:59:59.999
2025-10-10 08:00:00,1263.76,1269.49,1261.95,1267.01,10987.236,2025-10-10 08:59:59.999
2025-10-10 09:00:00,1267.0,1267.61,1248.0,1248.96,27547.527,2025-10-10 09:59:59.999
2025-10-10 10:00:00,1248.96,1252.36,1245.81,1251.41,12729.181,2025-10-10 10:59:59.999
2025-10-10 11:00:00,1251.41,1273.67,1250.62,1270.71,35752.862,2025-10-10 11:59:59.999
2025-10-10 12:00:00,1270.72,1274.16,1266.26,1270.05,20388.482,2025-10-10 12:59:59.999
2025-10-10 13:00:00,1270.05,1272.0,1248.04,1251.92,39520.419,2025-10-10 13:59:59.999
2025-10-10 14:00:00,1251.93,1256.64,1248.0,1250.75,11367.501,2025-10-10 14:59:59.999
